source_entity,r.relation_type,target_entity,r.description,r.source_document,r.confidence
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/alberta-indigenous-intern-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/Indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/indigenous-housing-capital-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/indigenous-employment-training-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/employment-partnerships-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/indigenous-organizations-and-service-directory,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/first-nations-development-fund-grant-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/training-and-employment-services-directory,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/budget-documents.aspx,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/budget-documents.aspx,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/budget-documents.aspx,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/budget-documents.aspx,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/budget-documents.aspx,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/fr/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/fr/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/fr/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/fr/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/fr/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/k-12-curriculum-programs-of-study,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/k-12-curriculum-programs-of-study,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/k-12-curriculum-programs-of-study,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/k-12-curriculum-programs-of-study,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/k-12-curriculum-programs-of-study,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/programs-of-study,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/fr/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/fr/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/fr/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/fr/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/fr/school-construction-accelerator-program,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,Alberta are started by people,Adult Learning Program related to Alberta are started by people,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,CALP policy,Adult Learning Program related to CALP policy,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,Program policy,Adult Learning Program related to Program policy,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,CALP Policy,Adult Learning Program related to CALP Policy,https://www.alberta.ca/community-adult-learning-program-policy-and-resources,0.7
Adult Learning Program,RELATED_TO,Adult learning program,Adult Learning Program related to Adult learning program,https://www.alberta.ca/community-adult-learning-program-overview,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/community-adult-learning-program-overview,0.7
Adult Learning Program,RELATED_TO,learning program,Adult Learning Program related to learning program,https://www.alberta.ca/community-adult-learning-program-overview,0.7
