e.name,e.type,e.description,e.source_document,e.ministry,e.confidence
Community Adult Learning Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Foster and kinship care,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Government of Alberta,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta government services and information you need,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta jobs,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta initiatives and action plans,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta are started by people,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Ombudsman,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Rules of Court,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta at,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Connects,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Farm Fuel Benefit,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Energy Regulator,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta Crown Prosecution Service,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Government act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
and act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Protection Act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
to act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
person act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
people act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
action plan,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
vehicle registration,SERVICE,SERVICE mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Elder abuse,SERVICE,SERVICE mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Child care,SERVICE,SERVICE mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Alberta,LOCATION,LOCATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
alberta,LOCATION,LOCATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Edmonton,LOCATION,LOCATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Ministry of Mental Health and Addiction of,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Alberta government,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Alberta Health Services to be licensed and provide narcotic transition services,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Alberta Mental Health and Addiction,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Health Act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Information Act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Privacy Act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Operating Policy,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
treatment plan,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/narcotic-transition-service-provider-licensing,Mental Health and Addiction,0.8
Alberta that offer or provide,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,Mental Health and Addiction,0.8
Alberta government of the approved clinical research trial,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,Mental Health and Addiction,0.8
Ministry of Mental Health and Addiction of your clinical trials,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,Mental Health and Addiction,0.8
Alberta government of the clinical research trial once the trial has been approved by a research ethics board,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,Mental Health and Addiction,0.8
you plan,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,Mental Health and Addiction,0.8
are plan,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,Mental Health and Addiction,0.8
have plan,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,Mental Health and Addiction,0.8
Substances Act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/supervised-consumption-service-provider-licensing,Mental Health and Addiction,0.8
Calgary,LOCATION,LOCATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/supervised-consumption-service-provider-licensing,Mental Health and Addiction,0.8
Alberta employees,ORGANIZATION,ORGANIZATION mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,Mental Health and Addiction,0.8
the act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,Mental Health and Addiction,0.8
be act,POLICY,POLICY mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,Mental Health and Addiction,0.8
Indigenous Intern Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Municipal Internship Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
law student program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
paid internship program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Intern Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Articling Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Internship Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
student program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
internship program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta Public Service,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta Indigenous Intern Program,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta Public Service and with Indigenous community partners,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta or an Indigenous business or organization,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta Indigenous Intern Program at the,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta jobs website,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Alberta Indigenous Relations,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/alberta-indigenous-intern-program,Indigenous Relations,0.8
Fund Grant Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Training Partnerships Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Housing Capital Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
employment training program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Grant Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Capital Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
training program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Alberta government publishes the,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Alberta government services,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Career plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/Indigenous-organizations-and-service-directory,Indigenous Relations,0.8
Alberta Supports,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,Indigenous Relations,0.8
child care,SERVICE,SERVICE mentioned in Indigenous Relations documents,https://www.alberta.ca/metis-and-indigenous-childrens-services-offices,Indigenous Relations,0.8
Redesigned program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
Alberta is committed to supporting the development,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
Alberta Seniors,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
Alberta staff,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
housing strategy,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
project plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-housing-capital-program,Indigenous Relations,0.8
employment support program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
For detailed program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
support program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
detailed program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
Alberta is working in partnership with the Government of Canada to provide employment support programs and services,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
Alberta Works Online Manual content,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/indigenous-employment-training-partnerships-program,Indigenous Relations,0.8
Employment Training Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
other funding program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
grant funding program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
of grant program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
with grant program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
rental for program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Training Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
funding program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
grant program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
for program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Alberta Labour Market Development Agreement and the Canada,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Alberta Workforce Development Agreement,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Alberta organizations are eligible to apply,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Alberta may evaluate the project or initiative,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Alberta Labour Market Development Agreement,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Project act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
planning act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
program act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
project act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
Eligible act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
touch act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
clear act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
market act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
all act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
workforce plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
strategic plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/employment-partnerships-program,Indigenous Relations,0.8
lottery grant program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
FNDF Grant Program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
and training program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Read the program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
cultural program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
the program,PROGRAM,PROGRAM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Alberta to fund economic,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Alberta that have signed an,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Alberta First Nations participating in the FNDF Grant Program,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Alberta Gaming,ORGANIZATION,ORGANIZATION mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
on act,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
Gaming Policy,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
for plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
and plan,POLICY,POLICY mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
$100,BUDGET_ITEM,BUDGET_ITEM mentioned in Indigenous Relations documents,https://www.alberta.ca/first-nations-development-fund-grant-program,Indigenous Relations,0.8
lists training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
deliver the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
for some program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
skills training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Workplace Training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
this exciting program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
site training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Technology Bridging Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
week training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
on training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
ensure that program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
about the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
centred training program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
This hybrid program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
the SE program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
in the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
after the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
facilitator led program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Self Employment Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Childhood Educator Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
completing the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
to Employment program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
to Employment Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Career Leap Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Construction Employment Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Workforce Training Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
Construction Fundamentals Program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
attend the program,PROGRAM,"PROGRAM mentioned in Jobs, Economy, Trade and Immigration documents",https://www.alberta.ca/training-and-employment-services-directory,"Jobs, Economy, Trade and Immigration",0.8
