title,url,ministry,source_page,context,file_type
Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program,Advanced Education,https://www.alberta.ca/open-government-program,"Entities found: Search, Popular, Search Alberta, June 17, 2025, Skip, Refocusing, Open Government, Alberta",webpage
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
version 1,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-1.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
version 2,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-2.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
version 3,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-3.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
Français (French),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-french.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Français (French)...,pdf
العربية (Arabic),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-arabic.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,العربية (Arabic)...,pdf
简体中文 (Chinese – Simplified),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-s-chinese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,简体中文 (Chinese – Simplified)...,pdf
繁體中文 (Chinese – Traditional),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-tr-chinese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,繁體中文 (Chinese – Traditional)...,pdf
हिन्दी (Hindi),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-hindi.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,हिन्दी (Hindi)...,pdf
한국어 (Korean),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-korean.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,한국어 (Korean)...,pdf
فارسی (Persian),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-persian.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,فارسی (Persian)...,pdf
ਪੰਜਾਬੀ (Punjabi),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-punjabi.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,ਪੰਜਾਬੀ (Punjabi)...,pdf
Soomaali (Somali),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-somali.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Soomaali (Somali)...,pdf
Español (Spanish),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-spanish.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Español (Spanish)...,pdf
Tagalog (Tagalog),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-tagalog.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Tagalog (Tagalog)...,pdf
Українська (Ukrainian),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-ukranian.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Українська (Ukrainian)...,pdf
اردو (Urdu),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-urdu.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,اردو (Urdu)...,pdf
Tiếng Việt (Vietnamese),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-vietnamese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Tiếng Việt (Vietnamese)...,pdf
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
version 1,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-1.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
version 2,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-2.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
version 3,https://www.alberta.ca/system/files/alss-elder-abuse-prevention-poster-english-3.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,English (version 1|version 2|version 3)...,pdf
Français (French),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-french.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Français (French)...,pdf
العربية (Arabic),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-arabic.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,العربية (Arabic)...,pdf
简体中文 (Chinese – Simplified),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-s-chinese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,简体中文 (Chinese – Simplified)...,pdf
繁體中文 (Chinese – Traditional),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-tr-chinese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,繁體中文 (Chinese – Traditional)...,pdf
हिन्दी (Hindi),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-hindi.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,हिन्दी (Hindi)...,pdf
한국어 (Korean),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-korean.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,한국어 (Korean)...,pdf
فارسی (Persian),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-persian.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,فارسی (Persian)...,pdf
ਪੰਜਾਬੀ (Punjabi),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-punjabi.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,ਪੰਜਾਬੀ (Punjabi)...,pdf
Soomaali (Somali),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-somali.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Soomaali (Somali)...,pdf
Español (Spanish),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-spanish.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Español (Spanish)...,pdf
Tagalog (Tagalog),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-tagalog.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Tagalog (Tagalog)...,pdf
Українська (Ukrainian),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-ukranian.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Українська (Ukrainian)...,pdf
اردو (Urdu),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-urdu.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,اردو (Urdu)...,pdf
Tiếng Việt (Vietnamese),https://www.alberta.ca/system/files/custom_downloaded_images/sh-elder-abuse-prevention-poster-vietnamese.pdf,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,Tiếng Việt (Vietnamese)...,pdf
Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse,Advanced Education,https://www.alberta.ca/get-help-elder-abuse,"Entities found: Search, Popular, Search Alberta, June 17, 2025, 1-877-644-9992, Skip, Refocusing, Alberta, Elder",webpage
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/budget-documents,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
2025-28 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/fc283ed2-42f8-4000-bbf8-928efd377252/download/budget-2025-capital-plan-details-by-ministry-2025-28.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2025-28 Capital Plan details by Ministry(PDF, February 27, 2025)...",pdf
2025-26 Offices of the Legislative Assembly Estimates,https://open.alberta.ca/dataset/f16f578a-b257-44d2-bdf6-649302beed7c/resource/646251b1-d3fc-4128-9f0d-b66f0fed1f6c/download/budget-2025-estimates-legislative-assembly-2025-26.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2025-26 Offices of the Legislative Assembly Estimates(PDF, February 27, 2025)...",pdf
2025-26 Government Estimates,https://open.alberta.ca/dataset/65514c30-e9f9-4951-9bae-7134edbe293c/resource/58677c6f-ecff-4175-9721-21e9c4fce815/download/budget-2025-estimates-government-2025-26.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2025-26 Government Estimates(PDF, February 27, 2025)...",pdf
2025-26 Entity Financial Information,https://open.alberta.ca/dataset/d7f13796-1d27-4833-b07d-5d3763500441/resource/4249ce5f-cf9e-4ab8-aa93-b8022390c61b/download/budget-2025-entity-financial-information-2025-26.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2025-26 Entity Financial Information(PDF, February 27, 2025)...",pdf
2024-25 Supplementary Supply Estimates,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/7a280159-25ca-401e-bd43-6b8a4c4a4c85/download/budget-2025-supplementary-supply-estimates-2024-25.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 Supplementary Supply Estimates(March 20, 2025)...",pdf
2024-25 Second Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/c5dbf941-9280-4d25-84cf-3f7c29ee7a37/download/tbf-2024-25-second-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 Second Quarter Fiscal Update and Economic Statement(November 21, 2024)News:Q2 update: Under pressure...",pdf
2024-25 First Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/9c5a6bc4-0e12-4913-abfb-a0ab133d2565/download/tbf-2024-25-first-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 First Quarter Fiscal Update and Economic Statement(August 29, 2024)News:Q1 update: Cautious optimism for a strong future...",pdf
2024-27 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/6c7a2345-81a2-4ef8-aceb-77b2f1345296/download/budget-2024-capital-plan-details-by-ministry-2024-27.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-27 Capital Plan details by Ministry(PDF, February 29, 2024)...",pdf
2024-25 Offices of the Legislative Assembly Estimates,https://open.alberta.ca/dataset/f16f578a-b257-44d2-bdf6-649302beed7c/resource/d15be3c6-aa21-4d1e-b665-d40f9e53a9fd/download/budget-2024-estimates-legislative-assembly-2024-25.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 Offices of the Legislative Assembly Estimates(PDF, February 29, 2024)...",pdf
2024-25 Government Estimates,https://open.alberta.ca/dataset/65514c30-e9f9-4951-9bae-7134edbe293c/resource/212a79dd-78ea-4917-b7cd-db85c3711b24/download/budget-2024-estimates-government-2024-25.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 Government Estimates(PDF, February 29, 2024)...",pdf
2024-25 Entity Financial Information,https://open.alberta.ca/dataset/d7f13796-1d27-4833-b07d-5d3763500441/resource/c4a8c9b4-3057-4eba-aa0f-b3fbd1f12d11/download/budget-2024-entity-financial-information-2024-25.pdf.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2024-25 Entity Financial Information(PDF, April 2, 2024)...",pdf
2023-24 Final Results - Year-end Report,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/6d4b2e7f-0d65-4e32-b8b1-8ef318e428c5/download/tbf-goa-2023-2024-final-results-year-end-report.pdf,Advanced Education,https://www.alberta.ca/budget-documents,2023-24 Final Results - Year-end ReportNews:Solid year-end sets stage for prosperous Alberta future...,pdf
2023-24 Supplementary Supply Estimates,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/ae948dae-be2e-44d9-8cdb-8ffa82c04ad0/download/budget-2024-supplementary-supply-estimates-2023-24.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 Supplementary Supply Estimates(March 21, 2024)...",pdf
2023-24 Mid-year Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/d6a548c7-35a7-4fa3-8503-eed9ad518cf9/download/tbf-2023-24-mid-year-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 Mid-year Fiscal Update and Economic Statement(November 30, 2023)News:Mid-year update: Keeping Alberta’s finances on track...",pdf
2023-24 First Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/0759de1b-8dd4-4cbb-a915-950aaa1bb51d/download/tbf-2023-24-first-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 First Quarter Fiscal Update and Economic Statement(August 31, 2023)News:Q1 update: Continued fiscal growth...",pdf
2023-26 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/1334605b-8411-426f-9479-8d5dafba793b/download/budget-2023-capital-plan-details-by-ministry-2023-26.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-26 Capital Plan details by Ministry(PDF, February 28, 2023)...",pdf
2023-24 Offices of the Legislative Assembly Estimates,https://open.alberta.ca/dataset/f16f578a-b257-44d2-bdf6-649302beed7c/resource/61c1f60e-94a2-476b-b93a-a8317f751fc0/download/budget-2023-estimates-legislative-assembly-2023-24.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 Offices of the Legislative Assembly Estimates(PDF, February 28, 2023)...",pdf
2023-24 Government Estimates,https://open.alberta.ca/dataset/65514c30-e9f9-4951-9bae-7134edbe293c/resource/c67dc3b7-d124-4754-8f9b-d642a04b4cfe/download/budget-2023-estimates-government-2023-24.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 Government Estimates(PDF, February 28, 2023)...",pdf
2023-24 Entity Financial Information,https://open.alberta.ca/dataset/d7f13796-1d27-4833-b07d-5d3763500441/resource/2253715e-ce3a-427a-8867-8bf2eb97f117/download/budget-2023-entity-financial-information-2023-24.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2023-24 Entity Financial Information(PDF, February 28, 2023)...",pdf
2022-23 Final Results - Year-end Report,https://open.alberta.ca/dataset/7714457c-7527-443a-a7db-dd8c1c8ead86/resource/e700b94a-bf65-49d1-bdac-af4915338c2c/download/tbf-goa-2022-2023-final-results-year-end-report.pdf,Advanced Education,https://www.alberta.ca/budget-documents,2022-23 Final Results - Year-end ReportNews:Strong year-end positions Alberta for stability...,pdf
2022-23 Supplementary Supply Estimates,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/09ec0d9f-42b5-4730-a681-7fe65c69aaac/download/budget-2023-supplementary-supply-estimates-2022-23.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 Supplementary Supply Estimates(March 16, 2023)...",pdf
2022-23 Mid-year Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/df205b7a-721a-486b-b663-8c1ecef46ae8/download/tbf-2022-23-mid-year-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 Mid-year Fiscal Update and Economic Statement(November 24, 2022)News:Q2 Update: Strong economy, strong Alberta...",pdf
2022-23 First Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/4a3977cf-8b11-493e-9daa-6d3266f1a3e5/download/tbf-2022-23-first-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 First Quarter Fiscal Update and Economic Statement(August 31, 2022)News:Q1 Update: Paying down debt and saving for the future...",pdf
2022-25 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/013904de-d03c-4141-9422-52bc6503cd65/download/budget-2022-capital-plan-details-by-ministry-2022-25.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-25 Capital Plan details by Ministry(PDF, February 24, 2022)...",pdf
2022-23 Offices of the Legislative Assembly Estimates,https://open.alberta.ca/dataset/f16f578a-b257-44d2-bdf6-649302beed7c/resource/c9b07da5-b317-4754-a15e-d6cd92ec8aea/download/budget-2022-estimates-legislative-assembly-2022-23.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 Offices of the Legislative Assembly Estimates(PDF, February 24, 2022)...",pdf
2022-23 Government Estimates,https://open.alberta.ca/dataset/65514c30-e9f9-4951-9bae-7134edbe293c/resource/efa42333-29d4-4f0e-a45d-3713bcd8194e/download/budget-2022-estimates-government-2022-23.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 Government Estimates(PDF, February 24, 2022)...",pdf
2022-23 Entity Financial Information,https://open.alberta.ca/dataset/d7f13796-1d27-4833-b07d-5d3763500441/resource/8d0d389b-1d99-4740-813d-65daf0fe7185/download/budget-2022-entity-financial-information-2022-23.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2022-23 Entity Financial Information(PDF, February 24, 2022)...",pdf
2021-22 Final Results - Year-end Report,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/bdda9ccd-6900-41e2-a70b-2b35a5c99590/download/2021-22-final-results-year-end-report.pdf,Advanced Education,https://www.alberta.ca/budget-documents,2021-22 Final Results - Year-end ReportNews:Strong year-end results position Alberta for future...,pdf
2021-22 Fiscal Plan Update,https://open.alberta.ca/dataset/05bd4008-c8e3-4c84-949e-cc18170bc7f7/resource/d6b74209-c60d-44f9-8498-f0b5408476e8/download/budget-2020-fiscal-plan-2020-23-update.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Fiscal Plan Update(March 17, 2022)...",pdf
2021-22 Supplementary Supply Estimates,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/fda007d1-a3b8-4aad-9bfc-bbf5af27edbf/download/budget-2022-supplementary-supply-estimates-2021-22.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Supplementary Supply Estimates(PDF, March 17, 2022)...",pdf
2021-22 Mid-year Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/7b308e01-13cc-4121-8b99-819dc7f816e9/download/2021-22-mid-year-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Mid-year Fiscal Update and Economic Statement(November 30, 2021)News:Mid-year update: Strong economic recovery continues...",pdf
2021-22 First Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/bd9378f4-895d-4f7b-8bf5-7629396761b5/download/2021-22-first-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 First Quarter Fiscal Update and Economic Statement(August 31, 2021)News:Q1 update: Alberta’s Recovery Plan is working...",pdf
2021-24 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/5194d7da-3e4b-418e-9615-5ad3b7d9d3ae/download/budget-2021-capital-plan-details-by-ministry-2021-24.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-24 Capital Plan details by Ministry(PDF, February 25, 2021)...",pdf
2021-22 Offices of the Legislative Assembly Estimates,https://open.alberta.ca/dataset/f16f578a-b257-44d2-bdf6-649302beed7c/resource/d63c982b-79b7-4751-aefc-0a1e4c3b8a30/download/budget-2021-estimates-legislative-assembly-2021-22.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Offices of the Legislative Assembly Estimates(PDF, February 25, 2021)...",pdf
2021-22 Government Estimates,https://open.alberta.ca/dataset/65514c30-e9f9-4951-9bae-7134edbe293c/resource/98a090e7-13d1-448f-8308-13f8bd5d52c5/download/budget-2021-estimates-government-2021-22.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Government Estimates(PDF, February 25, 2021)...",pdf
2021-22 Entity Financial Information,https://open.alberta.ca/dataset/d7f13796-1d27-4833-b07d-5d3763500441/resource/42d8ad56-13ed-4313-9973-b9a318c6ee8c/download/budget-2021-entity-financial-information-2021-22.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2021-22 Entity Financial Information(PDF, February 25, 2021)...",pdf
2020-21 Final Results - Year-end Report,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/732c465a-196e-488f-8b79-c774197dedf9/download/2020-21-final-results-year-end-report.pdf,Advanced Education,https://www.alberta.ca/budget-documents,2020-21 Final Results - Year-end ReportNews:Notable fiscal gains in final months of 2020-21...,pdf
2020-21 Supplementary Supply Estimates No. 2,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/12c612cf-82c0-49cc-943d-eebdcd7f415b/download/budget-2020-estimates-supplementary-supply-no-2-2020-21.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2020-21 Supplementary Supply Estimates No. 2(PDF, March 11, 2021)...",pdf
2020-21 Supplementary Supply Estimates,https://open.alberta.ca/dataset/a69c8990-3d5a-42c9-8250-ae2b39cb7579/resource/d42c7453-13c5-4c63-8d2b-3c36b1f9f91d/download/budget-2020-estimates-supplementary-supply-2020-21.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2020-21 Supplementary Supply Estimates(PDF, November 24, 2020)...",pdf
2020-21 Mid-year Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/b778a0d7-7828-42cf-9bbb-69c9be3dfce6/download/2020-21-mid-year-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2020-21 Mid-year Fiscal Update and Economic Statement(November 24, 2020)...",pdf
2020-21 First Quarter Fiscal Update and Economic Statement,https://open.alberta.ca/dataset/9c81a5a7-cdf1-49ad-a923-d1ecb42944e4/resource/df5d0611-2278-4fdb-aa7b-0c71932479cb/download/2020-21-first-quarter-fiscal-update-and-economic-statement.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2020-21 First Quarter Fiscal Update and Economic Statement(August 27, 2020)News:COVID-19 and oil price collapse crush province with historic deficit...",pdf
2020-23 Capital Plan details by Ministry,https://open.alberta.ca/dataset/3c46f857-aa60-430f-ba52-f9ec96fc8ccf/resource/63c3929f-0ed2-463b-902a-24aa7271f3e3/download/budget-2020-capital-plan-details-by-ministry-2020-23.pdf,Advanced Education,https://www.alberta.ca/budget-documents,"2020-23 Capital Plan details by Ministry(PDF, February 27, 2020)...",pdf
